[PHTITLE]INTERNET AND COMPUTER TERMS - Part 1

 [PH-HI]aberration[/PH-HI]    aberración
 [PH-HI]anchorage[/PH-HI]    anclaje
 [PH-HI]and gate[/PH-HI]    puerta y
 [PH-HI]and operator[/PH-HI]    operador lógico "y"
 [PH-HI]and/nor gate[/PH-HI]    puerta y/o
 [PH-HI]angle[/PH-HI]    angulo
 [PH-HI]animation[/PH-HI]    animación
 [PH-HI]annotate, to[/PH-HI]    anotar
 [PH-HI]anode[/PH-HI]    anodo
 [PH-HI]anonymous ftp[/PH-HI]    ftp anónimo
 [PH-HI]ansi (american national standards institute)[/PH-HI]    instituto nacional americano de normalización
 [PH-HI]ansi keyboard[/PH-HI]    teclado ansi
 [PH-HI]ansi standards[/PH-HI]    normas ansi
 [PH-HI]answer-only modem[/PH-HI]    módem de solo respuesta
 [PH-HI]aperture time[/PH-HI]    tiempo de apertura
 [PH-HI]apl (a programming language)[/PH-HI]    lenguaje de programación apl
 [PH-HI]apostrophe[/PH-HI]    apóstrofo (')
 [PH-HI]appc (advanced program-to-program communications)[/PH-HI]    comunicaciones en condiciones de igualdad
 [PH-HI]append value[/PH-HI]    valor de adición
 [PH-HI]append, to[/PH-HI]    anexar
 [PH-HI]appendix[/PH-HI]    apéndice
 [PH-HI]appliance computer language (acl)[/PH-HI]    lenguaje de utilización en ordenadores
 [PH-HI]application[/PH-HI]    aplicación
 [PH-HI]application binary interface (abi)[/PH-HI]    interfaz binario de aplicaciones
 [PH-HI]application common service elements (acses)[/PH-HI]    elementos comunes de servicio de aplicación
 [PH-HI]application configuration access protocol (acap)[/PH-HI]    protocolo de acceso a la configuración de aplicaciones
 [PH-HI]application engineer[/PH-HI]    ingeniero de gestión
 [PH-HI]application parent[/PH-HI]    aplicación principal
 [PH-HI]application program interface (api)[/PH-HI]    interfaz del programa de aplicación
 [PH-HI]application programmer[/PH-HI]    programador de aplicaciones
 [PH-HI]application protocol data unit (apdu)[/PH-HI]    nivel de aplicación de la unidad de datos de protocolo
 [PH-HI]application software[/PH-HI]    programa de aplicación
 [PH-HI]applications configurator (apco)[/PH-HI]    generador de programas
 [PH-HI]applique circuit[/PH-HI]    circuito adaptador
 [PH-HI]appn (advanced peer to peer networking)[/PH-HI]    red avanzada par a par
 [PH-HI]archive[/PH-HI]    archivo
 [PH-HI]argument[/PH-HI]    argumento
 [PH-HI]arithmetic expression[/PH-HI]    expresión aritmética
 [PH-HI]arithmetic function[/PH-HI]    función aritmética
 [PH-HI]arithmetic logic unit (alu)[/PH-HI]    ual (unidad aritmético lógica)
 [PH-HI]arithmetic shift[/PH-HI]    desplazamiento aritmético
 [PH-HI]arithmetic statement[/PH-HI]    sentencia aritmética
 [PH-HI]arp (address resolution protocol)[/PH-HI]    protocolo de resolución de dirección
 [PH-HI]arpa (advanced research projects agency of us dod)[/PH-HI]    agencia de proyectos de investigación avanzada (del departamento de defensa estadounidense)
 [PH-HI]arpanet (advanced research projects agency network)[/PH-HI]    red de la agencia de proyectos de investigación avanzada (red arpa)
 [PH-HI]arq (automatic request)[/PH-HI]    demanda automática
 [PH-HI]arrange, to[/PH-HI]    organizar
 [PH-HI]array[/PH-HI]    array, matriz
 [PH-HI]array processor (ap)[/PH-HI]    procesador matricial
 [PH-HI]arrow keys[/PH-HI]    teclas de dirección
 [PH-HI]artificial intelligence (ai)[/PH-HI]    inteligencia artificial (ia)
 [PH-HI]artificial language[/PH-HI]    lenguaje artificial
 [PH-HI]asa (american standard association)[/PH-HI]    ansi, asociación americana de estándares
 [PH-HI]asap (as soon as possible)[/PH-HI]    tan pronto como sea posible
 [PH-HI]ascending[/PH-HI]    ascendente
 [PH-HI]ascii (american standard code for information interchange)[/PH-HI]    código del instituto americano para el intercambio de información
 [PH-HI]ase (application service elements)[/PH-HI]    elementos de servicio de aplicación
 [PH-HI]asic (application-specific integrated circuit)[/PH-HI]    circuito integrado para aplicaciones específicas
 [PH-HI]asis (american society for information science)[/PH-HI]    sociedad americana de ciencias de la información
 [PH-HI]ask (amplitude-shift keying)[/PH-HI]    codificación por desplazamiento de amplitud
 [PH-HI]assemble, to[/PH-HI]    ensamblar
 [PH-HI]assembler (asm)[/PH-HI]    ensamblador
 [PH-HI]assembler language[/PH-HI]    lenguaje ensamblador
 [PH-HI]assembler program[/PH-HI]    programa ensamblador
 [PH-HI]assembly[/PH-HI]    montaje
 [PH-HI]assessment[/PH-HI]    asesoramiento, valoración
 [PH-HI]assignment operator[/PH-HI]    operador asignación
 [PH-HI]association for computer machinery (acm)[/PH-HI]    asociación para la maquinaria del ordenador
 [PH-HI]asterisk (*)[/PH-HI]    asterisco
 [PH-HI]asymmetric digital subscriber line (adsl)[/PH-HI]    línea digital asimétrica de abonado
 [PH-HI]asynchronous balanced mode (abm)[/PH-HI]    modo asíncrono balanceado
 [PH-HI]asynchronous communications interface adapter (acia)[/PH-HI]    adaptador para interfaz de comunicaciones asíncronas
 [PH-HI]asynchronous response mode (arm)[/PH-HI]    modo asíncrono de respuesta
 [PH-HI]asynchronous transmission[/PH-HI]    transmisión asíncrona
 [PH-HI]asynchronously[/PH-HI]    asíncrono
 [PH-HI]at (advanced technology)[/PH-HI]    tecnología avanzada
 [PH-HI]ata (at attachment)[/PH-HI]    adición al at
 [PH-HI]atm (asynchronous transfer mode)[/PH-HI]    modo de transferencia asíncrona
 [PH-HI]atm (asynchronous transmission mode)[/PH-HI]    modo de transmisión asíncrona
 [PH-HI]ats (administrative terminal system)[/PH-HI]    sistema de terminal administrativo
 [PH-HI]attach, to[/PH-HI]    adjuntar
 [PH-HI]attached resource computer network (arcnet)[/PH-HI]    red arcnet
 [PH-HI]attachment[/PH-HI]    adjunto
 [PH-HI]attenuation[/PH-HI]    atenuación
 [PH-HI]attenuator[/PH-HI]    atenuador
 [PH-HI]attribute[/PH-HI]    atributo
 [PH-HI]au (arithmetic unit)[/PH-HI]    unidad aritmética
 [PH-HI]audio[/PH-HI]    audio, sonido
 [PH-HI]audio signal[/PH-HI]    señal de audio
 [PH-HI]audio teleconferencing[/PH-HI]    audioteleconferencia
 [PH-HI]aui (attachment unit interface)[/PH-HI]    conexión de unidad de interfaz
 [PH-HI]aup (acceptable use policy)[/PH-HI]    política de uso aceptable
 [PH-HI]authenticate[/PH-HI]    validar, autentificar, auténtico
 [PH-HI]author[/PH-HI]    autor
 [PH-HI]authorization[/PH-HI]    autorización
 [PH-HI]authorized user[/PH-HI]    usuario autorizado
 [PH-HI]auto log[/PH-HI]    registro automático
 [PH-HI]auto logging[/PH-HI]    auto registro
 [PH-HI]auto-answer[/PH-HI]    respuesta automática
 [PH-HI]auto-dial[/PH-HI]    marcado automático
 [PH-HI]autocode[/PH-HI]    autocódigo
 [PH-HI]autodecrementing[/PH-HI]    autodecrementación
 [PH-HI]autoff (automatic form feed)[/PH-HI]    alimentación automática (de papel)
 [PH-HI]autoincrementing[/PH-HI]    autoincrementación
 [PH-HI]automatic calling unit (acu)[/PH-HI]    unidad de llamada automática
 [PH-HI]automatic check[/PH-HI]    control automático
 [PH-HI]automatic computing (ac)[/PH-HI]    cálculo automático
 [PH-HI]automatic computing system (acs)[/PH-HI]    sistema informático
 [PH-HI]automatic data processing (adp)[/PH-HI]    procesamiento automático de datos
 [PH-HI]automatic data processing equipment (adpe)[/PH-HI]    equipo de procesamiento automático de datos
 [PH-HI]automatic dialing unit (adu)[/PH-HI]    unidad automática de selección
 [PH-HI]automatic engineering design (aed)[/PH-HI]    diseño de ingeniería automático
 [PH-HI]automatic programming (ap)[/PH-HI]    programación automática
 [PH-HI]automatic programming tools (apt)[/PH-HI]    herramientas de programación automática
 [PH-HI]automatic receiver program (arp)[/PH-HI]    programa receptor automático
 [PH-HI]automatic send and receive (asr)[/PH-HI]    transmisión-recepción automática
 [PH-HI]automatic test equipment (ate)[/PH-HI]    equipo de prueba automático
 [PH-HI]automation[/PH-HI]    automatización
 [PH-HI]automaton[/PH-HI]    autómata
 [PH-HI]autonomous system number (asn)[/PH-HI]    número de sistema autónomo
 [PH-HI]auxiliary circuit[/PH-HI]    circuito auxiliar
 [PH-HI]auxiliary equipment[/PH-HI]    equipo auxiliar
 [PH-HI]auxiliary register[/PH-HI]    registro auxiliar
 [PH-HI]auxiliary storage[/PH-HI]    memoria auxiliar
 [PH-HI]available[/PH-HI]    disponible
 [PH-HI]available time[/PH-HI]    tiempo disponible
 [PH-HI]average[/PH-HI]    promedio
 [PH-HI]average access time[/PH-HI]    tiempo promedio de acceso
 [PH-HI]awg (american wire gauge)[/PH-HI]    medida o galga de alambres, calibre para medir diámetros de los hilos
 [PH-HI]azimute[/PH-HI]    acimutal
 [PH-HI]azimuth[/PH-HI]    acimut
 [PH-HI]b[/PH-HI]    byte, octeto
 [PH-HI]babble[/PH-HI]    ruido de mezcla, murmullo
 [PH-HI]back circuit[/PH-HI]    circuito de retorno
 [PH-HI]back door[/PH-HI]    puerta trasera
 [PH-HI]back plane[/PH-HI]    panel de conexiones eléctricas
 [PH-HI]backbone[/PH-HI]    espina dorsal/segmento principal (de una red); cable principal (de banda ancha)
 [PH-HI]backdrop[/PH-HI]    fondo de página
 [PH-HI]backend[/PH-HI]    en segundo plano
 [PH-HI]background[/PH-HI]    fondo
 [PH-HI]background color[/PH-HI]    color de fondo
 [PH-HI]background noise[/PH-HI]    ruido de fondo
 [PH-HI]background process[/PH-HI]    proceso en segundo plano
 [PH-HI]background program[/PH-HI]    programa no prioritario
 [PH-HI]backing storage[/PH-HI]    area intermedia
 [PH-HI]backlash[/PH-HI]    ajuste de holguras
 [PH-HI]backlast[/PH-HI]    holgura
 [PH-HI]backlighting[/PH-HI]    retroiluminación
 [PH-HI]backlit screen[/PH-HI]    pantalla retroiluminada
 [PH-HI]backslash[/PH-HI]    barra inversa, barra invertida, barra diagonal inversa (\)
 [PH-HI]backtracking[/PH-HI]    algoritmos de prueba y marcha atrás
 [PH-HI]backup[/PH-HI]    copia de seguridad
 [PH-HI]backup equipment[/PH-HI]    equipo para copias de seguridad
 [PH-HI]backup storage[/PH-HI]    memoria de reserva
 [PH-HI]bad[/PH-HI]    incorrecto, defectuoso, no válido, inservible
 [PH-HI]bad parity[/PH-HI]    error de paridad
 [PH-HI]bad sector[/PH-HI]    sector defectuoso
 [PH-HI]badge[/PH-HI]    distintivo, credencial
 [PH-HI]band[/PH-HI]    banda
 [PH-HI]band width[/PH-HI]    ancho de banda
 [PH-HI]base address[/PH-HI]    dirección base
 [PH-HI]base buttons[/PH-HI]    botones básicos
 [PH-HI]base register[/PH-HI]    registro básico
 [PH-HI]baseband[/PH-HI]    banda base
 [PH-HI]basic access method (bam)[/PH-HI]    método de acceso básico
 [PH-HI]basic assembly language (bal)[/PH-HI]    lenguaje ensamblador básico
 [PH-HI]batch (batch processing)[/PH-HI]    proceso por lotes
 [PH-HI]batch file[/PH-HI]    fichero de proceso por lotes
 [PH-HI]batch system[/PH-HI]    sistema de procesos por lotes
 [PH-HI]batchep[/PH-HI]    agrupado
 [PH-HI]battery[/PH-HI]    pila, batería
 [PH-HI]battery- powered[/PH-HI]    alimentado por pilas, alimentado por baterías
 [PH-HI]baud[/PH-HI]    baudio
 [PH-HI]baud rate[/PH-HI]    velocidad (de transmisión) en baudios
 [PH-HI]beep[/PH-HI]    bip, pitido
 [PH-HI]beginners all purpose symbolic instruction code (basic)[/PH-HI]    código de instrucciones simbólicas de carácter general para principiantes
 [PH-HI]behavioral device[/PH-HI]    dispositivo de comportamiento
 [PH-HI]benchmark program[/PH-HI]    programa patrón de prestaciones, programa de devaluación de prestaciones
 [PH-HI]benchtest (benchmark test)[/PH-HI]    prueba de evolución de prestaciones
 [PH-HI]ber (basic encoding rules)[/PH-HI]    reglas básicas de codificación
 [PH-HI]beta test[/PH-HI]    prueba beta
 [PH-HI]beta version[/PH-HI]    versión beta
 [PH-HI]bi-directional[/PH-HI]    bi-direccional
 [PH-HI]big blue (ibm)[/PH-HI]    gigante azul (ibm)
 [PH-HI]binary[/PH-HI]    binario
 [PH-HI]binary base[/PH-HI]    base binaria, base 2
 [PH-HI]binary code[/PH-HI]    código binario
 [PH-HI]binary coded decimal (bcd)[/PH-HI]    decimal codificado en binario
 [PH-HI]binary digit[/PH-HI]    dígito binario (bit)
 [PH-HI]binary file transfer (bft)[/PH-HI]    transferencia de fichero binario
 [PH-HI]binary search[/PH-HI]    búsqueda binaria
 [PH-HI]binhex (binary hexadecimal)[/PH-HI]    hexadecimal binario
 [PH-HI]bios (basic input output system)[/PH-HI]    sistema básico de entrada/salida
 [PH-HI]bipolar[/PH-HI]    bipolar
 [PH-HI]bips (billion of instructions per second)[/PH-HI]    miles de millones de instrucciones por segundo
 [PH-HI]bistable[/PH-HI]    biestable
 [PH-HI]bisync (bi-synchronous)[/PH-HI]    bi-síncrono
 [PH-HI]bit (binary digit)[/PH-HI]    dígito binario
 [PH-HI]bit error rate (ber)[/PH-HI]    radio de error de bit
 [PH-HI]bit mapped image[/PH-HI]    imagen de bits asignados
 [PH-HI]bit stream[/PH-HI]    corriente de bits, flujo de bits
 [PH-HI]bitmap display[/PH-HI]    pantalla de mapa de bits
 [PH-HI]black box[/PH-HI]    caja negra
 [PH-HI]blank[/PH-HI]    espacio en blanco, blanco, vacío
 [PH-HI]blind carbon copy[/PH-HI]    copia oculta
 [PH-HI]blink[/PH-HI]    parpadear, intermitencia
 [PH-HI]blob (binary large objects)[/PH-HI]    objetos grandes en binario
 [PH-HI]block[/PH-HI]    bloque
 [PH-HI]block sort[/PH-HI]    clasificación por bloques
 [PH-HI]blocking[/PH-HI]    agrupamiento en bloques
 [PH-HI]blocks of time[/PH-HI]    bloques de tiempo
 [PH-HI]blue ribbon program[/PH-HI]    programa de cinta azul
 [PH-HI]blueprint[/PH-HI]    anteproyecto
 [PH-HI]bmp (bit map)[/PH-HI]    mapa de bits
 [PH-HI]board[/PH-HI]    tarjeta, placa
 [PH-HI]boilerplate[/PH-HI]    texto modelo
 [PH-HI]boldface[/PH-HI]    negrita
 [PH-HI]bookmark[/PH-HI]    marca, señalador, atajo, marcador
 [PH-HI]boolean algebra[/PH-HI]    algebra booleana
 [PH-HI]boot[/PH-HI]    carga inicial
 [PH-HI]boot prom[/PH-HI]    prom de arranque
 [PH-HI]bootstrap protocol (bootp)[/PH-HI]    protocolo de arranque-asignación
 [PH-HI]bop (bit orientated protocol)[/PH-HI]    protocolo orientado al bit
 [PH-HI]border[/PH-HI]    borde
 [PH-HI]borrow[/PH-HI]    acarreo negativo
 [PH-HI]bos (basic operating system)[/PH-HI]    sistema operativo básico
 [PH-HI]bottleneck[/PH-HI]    estrechamiento, cuello de botella
 [PH-HI]bpi (bits per inch)[/PH-HI]    bits por pulgada
 [PH-HI]bps (bits per second)[/PH-HI]    bits por segundo
 [PH-HI]bracket[/PH-HI]    corchete
 [PH-HI]brainstorming[/PH-HI]    tormenta de ideas
 [PH-HI]branch[/PH-HI]    bifurcar, ramificar, separar
 [PH-HI]brand[/PH-HI]    modelo, marca
 [PH-HI]breadboard[/PH-HI]    tarjeta experimental
 [PH-HI]break down (machines), to[/PH-HI]    averiarse
 [PH-HI]break, to[/PH-HI]    romper
 [PH-HI]breakdown[/PH-HI]    avería
 [PH-HI]bridge[/PH-HI]    puente
 [PH-HI]bridged networks[/PH-HI]    redes unidas
 [PH-HI]bridging software[/PH-HI]    software de transición
 [PH-HI]briefcase computer[/PH-HI]    ordenador de maletín
 [PH-HI]brightness lever[/PH-HI]    palanca de brillo
 [PH-HI]bring forward[/PH-HI]    traer adelante
 [PH-HI]bring to front[/PH-HI]    traer al frente
 [PH-HI]broad[/PH-HI]    amplio
 [PH-HI]broadband isdn (b-isdn)[/PH-HI]    rdsi de banda ancha
 [PH-HI]broadcast[/PH-HI]    transmisión, emisión
 [PH-HI]browse, to[/PH-HI]    examinar, rastrear
 [PH-HI]browser[/PH-HI]    navegador, visualizador, visor
 [PH-HI]bs (backspace)[/PH-HI]    retroceso
 [PH-HI]bsc (binary synchronous communication)[/PH-HI]    comunicación binaria síncrona
 [PH-HI]btt (bad track table)[/PH-HI]    tabla de pistas defectuosas
 [PH-HI]bubble memory[/PH-HI]    memoria de burbuja
 [PH-HI]bubble sort[/PH-HI]    ordenación por método de la burbuja
 [PH-HI]bucket[/PH-HI]    sector de almacenamiento
 [PH-HI]buffer[/PH-HI]    memoria intermedia
 [PH-HI]buffer flush[/PH-HI]    vaciado de buffers
 [PH-HI]buffer pool[/PH-HI]    consorcio de buffers
 [PH-HI]bug[/PH-HI]    error, fallo
 [PH-HI]build, to[/PH-HI]    incorporar, integrar
 [PH-HI]built-in[/PH-HI]    incorporado, integrado
 [PH-HI]built-in test equipment (bite)[/PH-HI]    equipos de prueba incorporados
 [PH-HI]bulk storage[/PH-HI]    almacenamiento de gran capacidad
 [PH-HI]bull cabling system (bcs)[/PH-HI]    sistema de cableado de bull
 [PH-HI]bullet[/PH-HI]    punto elevado
 [PH-HI]bulletin board system (bbs)[/PH-HI]    sistema de tablón de anuncios
 [PH-HI]bump[/PH-HI]    desechar
 [PH-HI]bundle[/PH-HI]    bulto, lote, paquete
 [PH-HI]bundled system[/PH-HI]    sistema no disociable
 [PH-HI]burst[/PH-HI]    ráfaga de impulsos
 [PH-HI]burster[/PH-HI]    separador de hojas (papel continuo)
 [PH-HI]bus[/PH-HI]    bus, canal
 [PH-HI]bus topology[/PH-HI]    topología de bus
 [PH-HI]business information system (bis)[/PH-HI]    sistema de información para negocios
 [PH-HI]busy[/PH-HI]    ocupado
 [PH-HI]button[/PH-HI]    botón
 [PH-HI]buzzword[/PH-HI]    termino técnico
 [PH-HI]bypass, to[/PH-HI]    puentear un circuito, pasar por alto un circuito, desviar
 [PH-HI]byte[/PH-HI]    octeto
 [PH-HI]cable[/PH-HI]    cable
 [PH-HI]cable harness[/PH-HI]    manojo de cables
 [PH-HI]cache[/PH-HI]    caché
 [PH-HI]calculator[/PH-HI]    calculadora
 [PH-HI]calibration[/PH-HI]    calibración
 [PH-HI]call[/PH-HI]    llamada
 [PH-HI]callback, to[/PH-HI]    repetir llamada
 [PH-HI]calling feature[/PH-HI]    dispositivo de llamada
 [PH-HI]calling list[/PH-HI]    lista de llamada
 [PH-HI]calling sequence[/PH-HI]    secuencia de llamada
 [PH-HI]cancel[/PH-HI]    cancelar
 [PH-HI]canned software[/PH-HI]    software enlatado, software estándar
 [PH-HI]cap (calendar access protocol)[/PH-HI]    protocolo de acceso a calendarios
 [PH-HI]capacitor[/PH-HI]    condensador
 [PH-HI]capitalization[/PH-HI]    uso de mayúsculas
 [PH-HI]caps[/PH-HI]    letras mayúsculas
 [PH-HI]caps lock key[/PH-HI]    tecla bloqueo de mayúsculas
 [PH-HI]capture, to[/PH-HI]    capturar
 [PH-HI]card[/PH-HI]    tarjeta
 [PH-HI]card punch[/PH-HI]    perforadora de tarjetas
 [PH-HI]card reader[/PH-HI]    lectora de tarjetas (perforadas)
 [PH-HI]caret[/PH-HI]    intercalación
 [PH-HI]carriage[/PH-HI]    carro de impresión
 [PH-HI]carrier[/PH-HI]    portadora
 [PH-HI]carry flag[/PH-HI]    indicador de acarreo
 [PH-HI]carry out, to[/PH-HI]    ejecutar una acción, llevar a cabo una acción
 [PH-HI]carrying handle[/PH-HI]    asa de transporte
 [PH-HI]cartridge[/PH-HI]    cartucho
 [PH-HI]cascade amplifier[/PH-HI]    amplificador en cascada
 [PH-HI]cascade windows[/PH-HI]    ventanas en cascada
 [PH-HI]case sensitive[/PH-HI]    distinguir mayúsculas de minúsculas
 [PH-HI]caution[/PH-HI]    advertencia, precaución
 [PH-HI]cell[/PH-HI]    celda
 [PH-HI]censorship[/PH-HI]    censura
 [PH-HI]central processing unit (cpu)[/PH-HI]    unidad central de procesos (ucp)
 [PH-HI]centrilized processing[/PH-HI]    procesamiento de datos centralizado
 [PH-HI]certification[/PH-HI]    certificación
 [PH-HI]chad[/PH-HI]    agujero (en cintas magnéticas o tarjetas perforadas)
 [PH-HI]chain, to[/PH-HI]    encadenar
 [PH-HI]chained program[/PH-HI]    programa encadenado
 [PH-HI]chaining[/PH-HI]    encadenamiento
 [PH-HI]channel[/PH-HI]    canal
 [PH-HI]channel address word[/PH-HI]    palabra de dirección de canal
 [PH-HI]channel command[/PH-HI]    comando de canal
 [PH-HI]channel connector[/PH-HI]    conector de canales
 [PH-HI]channel control field[/PH-HI]    campo de control de canal
 [PH-HI]channel status condition[/PH-HI]    condición de estado del canal
 [PH-HI]channel work area expansion[/PH-HI]    extensión del área de memoria para la gestión de canales
 [PH-HI]character[/PH-HI]    carácter
 [PH-HI]character rate[/PH-HI]    velocidad de transferencia de caracteres
 [PH-HI]character recognition[/PH-HI]    reconocimiento de caracteres
 [PH-HI]character set[/PH-HI]    juego de caracteres
 [PH-HI]characteristic[/PH-HI]    característica
 [PH-HI]charge couple device (ccd)[/PH-HI]    dispositivo acoplado por carga
